Year,Site,Annual Mean PM10 concentration (ug/m3),95% confidence interval for 'All sites' (+/-),Annual data capture (%)
1997,All sites,36.7313588004071,7.62944190483024,
1998,All sites,32.9751949145554,4.47049243915924,
1999,All sites,31.7361038527483,6.35042180990784,
2000,All sites,30.8330759766554,7.57678197674672,
2001,All sites,31.5509325721709,5.57850460046209,
2002,All sites,29.154707228596,5.09570425627365,
2003,All sites,30.4705083564957,6.48979917295285,
2004,All sites,26.302015341694,6.31892849207804,
2005,All sites,27.3919112836606,6.06108767406777,
2006,All sites,29.8999109357199,6.90654062834333,
2007,All sites,26.1252962487435,7.68227463412376,
2008,All sites,22.3940956091631,3.79147366410598,
2009,All sites,20.2660849583625,2.68099730244551,
2010,All sites,21.659442713377,2.83994699560468,
2011,All sites,22.9241861746166,3.24886460612274,
2012,All sites,20.0414448874075,2.00795218241246,
2013,All sites,20.4481841057983,2.27084088679735,
2014,All sites,18.7402104696501,2.08524991754535,
2015,All sites,17.294771601023,1.4199502939253,
2016,All sites,18.4755084872708,1.74567555378114,
2017,All sites,17.24844743785,1.49747725888964,
2018,All sites,18.5453310620533,1.15769485116651,
2019,All sites,17.9939806030197,1.27222282130466,
2007,Inverness,13.55,,87.6712328767123
2008,Inverness,12.4889502762431,,98.9071038251366
2009,Inverness,11.7309941520468,,93.6986301369863
2010,Inverness,14.055900621118,,88.2191780821918
2011,Inverness,11.83125,,87.6712328767123
2012,Inverness,11.0202312138728,,94.5355191256831
2013,Inverness,11.6481194029851,,91.7808219178082
2014,Inverness,10.854691011236,,97.5342465753425
2015,Inverness,9.29194202898551,,94.5205479452055
2016,Inverness,8.56231515151515,,90.1639344262295
2017,Inverness,9.71271091445428,,92.8767123287671
2007,Wrexham,18.8155619596542,,95.0684931506849
2008,Wrexham,17.0145348837209,,93.9890710382514
2009,Wrexham,15.1766467065868,,91.5068493150685
2010,Wrexham,14.2770700636943,,86.027397260274
2011,Wrexham,17.7043189368771,,82.4657534246575
2012,Wrexham,15.1121794871795,,85.2459016393443
2013,Wrexham,17.1036918604651,,94.2465753424658
2014,Wrexham,14.0603519061584,,93.4246575342466
2015,Wrexham,13.2563068181818,,96.4383561643836
2016,Wrexham,12.2318005698006,,95.9016393442623
2017,Wrexham,11.5001079545455,,96.4383561643836
2002,Dumfries,21.4122807017544,,93.6986301369863
2003,Dumfries,21,,93.4246575342466
2004,Dumfries,16.2619047619048,,91.8032786885246
2005,Dumfries,18.5490196078431,,97.8082191780822
2006,Dumfries,20.1733746130031,,88.4931506849315
2007,Dumfries,18.3764367816092,,95.3424657534246
2003,Inverness,14.9970674486804,,93.4246575342466
2004,Inverness,13.7902298850575,,95.0819672131148
2005,Inverness,15.1228070175439,,93.6986301369863
2006,Inverness,15.6325301204819,,90.958904109589
2002,Wrexham,25.0350877192982,,78.0821917808219
2003,Wrexham,24.2816455696203,,86.5753424657534
2004,Wrexham,18.5801749271137,,93.7158469945355
2005,Wrexham,20.2358208955224,,91.7808219178082
2006,Wrexham,19.8994252873563,,95.3424657534246
1997,London A3 Roadside,38.098581884721,,49.9086757990868
1998,London A3 Roadside,31.5054828440042,,96.8150684931507
1999,London A3 Roadside,29.4426613564484,,97.4543378995434
2000,London A3 Roadside,26.1536588194364,,98.1671220400729
2001,London A3 Roadside,27.2928997543572,,97.5913242009132
2002,London A3 Roadside,23.7949232585596,,96.689497716895
2003,London A3 Roadside,33.2155702792239,,96.4840182648402
2004,London A3 Roadside,27.0741987923827,,98.0418943533698
2005,London A3 Roadside,30.9045459830252,,98.1849315068493
2006,London A3 Roadside,34.2572157180944,,98.4817351598173
2007,London A3 Roadside,31.8985981308411,,73.2876712328767
2009,Armagh Roadside,23.0727672373901,,98.675799086758
2010,Armagh Roadside,28.6979062811565,,91.5981735159817
2011,Armagh Roadside,19.0089538171536,,96.8949771689498
2012,Armagh Roadside,16.3189438390612,,81.4890710382514
2013,Armagh Roadside,19.0223524041388,,75.0228310502283
2014,Armagh Roadside,20.6834169371496,,38.6872146118721
2015,Armagh Roadside,14.8493272519954,,50.0570776255708
2016,Armagh Roadside,18.2184346701164,,70.4007285974499
2017,Armagh Roadside,14.4592055634135,,96.8493150684932
2018,Armagh Roadside,18.5858940556088,,95.2511415525114
2019,Armagh Roadside,17.1714136262587,,87.2945205479452
2014,Belfast Stockman's Lane,20.4936844024887,,53.2077625570776
2015,Belfast Stockman's Lane,21.0335565531716,,97.8995433789954
2016,Belfast Stockman's Lane,21.5935451352301,,97.233606557377
2017,Belfast Stockman's Lane,20.5521561653515,,96.9292237442922
2018,Belfast Stockman's Lane,14.7163921780987,,94.8630136986301
2019,Belfast Stockman's Lane,18.2078731624347,,93.9611872146119
2016,Birmingham A4540 Roadside,15.5407392026578,,27.4134790528233
2017,Birmingham A4540 Roadside,15.1321374629812,,92.5114155251142
2018,Birmingham A4540 Roadside,17.5091575645756,,92.8082191780822
2019,Birmingham A4540 Roadside,15.3689046139685,,99.2123287671233
2009,Birmingham Tyburn Roadside,18.7887643448092,,85.5479452054795
2010,Birmingham Tyburn Roadside,20.4809422348485,,96.4383561643836
2011,Birmingham Tyburn Roadside,23.674379524302,,88.310502283105
2012,Birmingham Tyburn Roadside,21.7761500146499,,77.7094717668488
2013,Birmingham Tyburn Roadside,19.2042806183115,,76.8036529680365
2014,Birmingham Tyburn Roadside,19.8719185687847,,92.5228310502283
2015,Birmingham Tyburn Roadside,17.2790881823635,,95.148401826484
2016,Birmingham Tyburn Roadside,17.6348471803702,,52.891621129326
2013,Barnstaple A39,18.6679287305122,,10.2511415525114
2014,Barnstaple A39,16.0116111951588,,90.5479452054795
2015,Barnstaple A39,17.7171924746744,,78.8812785388128
2016,Barnstaple A39,16.9499933818663,,86.0086520947177
2017,Barnstaple A39,16.7944729344729,,40.0684931506849
2018,Barnstaple A39,14.0109023988281,,62.3401826484018
2019,Barnstaple A39,16.6107482048827,,95.3881278538813
2017,Bristol Temple Way,21.6629075882795,,15.1940639269406
2018,Bristol Temple Way,22.6100616205725,,94.1095890410959
2019,Bristol Temple Way,20.9040645082765,,93.7899543378995
2015,Bury Whitefield Roadside,17.3114010605638,,81.8036529680365
2016,Bury Whitefield Roadside,15.240269352099,,93.8296903460838
2017,Bury Whitefield Roadside,14.8494393347612,,90.6050228310502
2018,Bury Whitefield Roadside,15.9151103431551,,94.1438356164384
2019,Bury Whitefield Roadside,17.729821945433,,96.2328767123288
1997,Bury Roadside,39.1527408195849,,85.7990867579909
1998,Bury Roadside,33.8797643381027,,94.9429223744292
1999,Bury Roadside,31.2919202768827,,95.6506849315068
2000,Bury Roadside,29.4313822546715,,91.9968123861566
2001,Bury Roadside,32.4390568319226,,94.4063926940639
2002,Bury Roadside,30.7594710507505,,95.8219178082192
2003,Bury Roadside,34.6819460726846,,97.3744292237443
2004,Bury Roadside,30.3213580246914,,92.2131147540984
2005,Bury Roadside,27.8715422058649,,96.1529680365297
2006,Bury Roadside,31.3266139657444,,86.6438356164384
2007,Bury Roadside,28.148039359671,,77.7283105022831
2008,Bury Roadside,20.8879677877783,,96.1293260473588
2009,Bury Roadside,22.1579761904762,,95.8904109589041
2010,Bury Roadside,23.2827505827506,,97.9452054794521
2011,Bury Roadside,23.4648788288842,,92.796803652968
2012,Bury Roadside,23.351310483871,,67.7595628415301
1997,Camden Kerbside,42.0803654024052,,98.7214611872146
1998,Camden Kerbside,32.661956065482,,81.5867579908676
1999,Camden Kerbside,34.1057657439865,,94.4406392694064
2000,Camden Kerbside,33.6679065442288,,97.9394353369763
2001,Camden Kerbside,33.2122052704577,,98.7671232876712
2002,Camden Kerbside,30.7548624697894,,99.189497716895
2003,Camden Kerbside,35.3133002653132,,98.9611872146119
2004,Camden Kerbside,34.9392245480495,,95.7194899817851
2005,Camden Kerbside,36.795848567048,,96.7922374429224
2006,Camden Kerbside,37.285695329087,,86.027397260274
2007,Camden Kerbside,35.2439136426275,,99.4063926940639
2008,Camden Kerbside,26.4709985315712,,93.0327868852459
2009,Camden Kerbside,25.3939015691869,,64.0182648401827
2010,Camden Kerbside,26.0419295478444,,86.8493150684932
2011,Camden Kerbside,26.7680456144608,,94.0981735159817
2012,Camden Kerbside,22.6495610238655,,92.0651183970856
2013,Camden Kerbside,20.499339819319,,98.5616438356164
2014,Camden Kerbside,22.0760703019378,,75.9931506849315
2015,Camden Kerbside,20.3422842764208,,93.0022831050228
2016,Camden Kerbside,20.884814905017,,93.488160291439
2017,Camden Kerbside,20.1651635155851,,89.3607305936073
2018,Camden Kerbside,20.6524725598961,,96.7237442922374
2019,Camden Kerbside,19.4761933032534,,96.1415525114155
2008,Carlisle Roadside,21.9845897542691,,82.0013661202186
2009,Carlisle Roadside,17.8638435700576,,95.1598173515982
2010,Carlisle Roadside,22.4671982602392,,94.486301369863
2011,Carlisle Roadside,22.1140554402247,,93.4817351598173
2012,Carlisle Roadside,19.1903000411015,,83.094262295082
2013,Carlisle Roadside,12.2270745603171,,46.0844748858447
2014,Carlisle Roadside,15.7782013381049,,73.3675799086758
2015,Carlisle Roadside,17.2835046042973,,85.5365296803653
2016,Carlisle Roadside,14.1294932491671,,64.9248633879781
2017,Carlisle Roadside,14.5925823846615,,95.2625570776256
2018,Carlisle Roadside,16.1977453377016,,90.5936073059361
2019,Carlisle Roadside,18.5932621370919,,94.7602739726027
2010,Chatham Roadside,21.5784671532847,,50.0456621004566
2011,Chatham Roadside,24.1034004163775,,98.6986301369863
2012,Chatham Roadside,20.8233091504798,,97.2905282331512
2013,Chatham Roadside,23.0844004373709,,93.9611872146119
2014,Chatham Roadside,21.3877555844463,,96.5867579908676
2015,Chatham Roadside,18.4751991310644,,94.5890410958904
2016,Chatham Roadside,19.0942704989424,,91.4959016393443
2017,Chatham Roadside,21.6452919742796,,95.8675799086758
2018,Chatham Roadside,23.7184948514617,,96.4497716894977
2019,Chatham Roadside,22.8619045486684,,96.8721461187215
2008,Chepstow A48,22.745843506569,,97.9166666666667
2009,Chepstow A48,22.1248976919299,,69.7374429223744
2010,Chepstow A48,21.2232565478069,,72.351598173516
2011,Chepstow A48,22.1075428417218,,84.6004566210046
2012,Chepstow A48,18.7669579213612,,99.0209471766849
2013,Chepstow A48,19.3924669073406,,94.8630136986301
2014,Chepstow A48,17.5610719828101,,95.6278538812785
2015,Chepstow A48,16.8630281690141,,87.5342465753425
2016,Chepstow A48,17.7438795656466,,92.2586520947177
2017,Chepstow A48,15.3102493176694,,96.1986301369863
2018,Chepstow A48,17.6348300958938,,92.8538812785388
2019,Chepstow A48,19.5978649494463,,94.8401826484018
2008,Chesterfield Roadside,22.8758364312268,,76.5596539162113
2009,Chesterfield Roadside,24.4167867435158,,31.689497716895
2010,Chesterfield Roadside,NA,,0
2011,Chesterfield Roadside,17.8452712100139,,65.662100456621
2012,Chesterfield Roadside,20.2327094119209,,85.7581967213115
2013,Chesterfield Roadside,17.3233509870005,,94.8401826484018
2014,Chesterfield Roadside,19.0320136679628,,96.8835616438356
2015,Chesterfield Roadside,17.8625847953216,,97.6027397260274
2016,Chesterfield Roadside,17.7012680730031,,96.0610200364299
2017,Chesterfield Roadside,14.2876565083865,,96.6438356164384
2018,Chesterfield Roadside,16.7782596646806,,82.3858447488584
2019,Chesterfield Roadside,14.1035698012603,,94.2009132420091
2018,Cardiff Newport Road,20.1373723166753,,66.472602739726
2019,Cardiff Newport Road,18.7740839785587,,95.8333333333333
2017,Coventry Binley Road,15.3129408109368,,73.4817351598173
2018,Coventry Binley Road,19.384748822037,,94.486301369863
2019,Coventry Binley Road,19.5024559252773,,97.7739726027397
2014,Ealing Horn Lane,31.0036341611145,,56.541095890411
2015,Ealing Horn Lane,28.3647341337907,,66.5525114155251
2016,Ealing Horn Lane,28.3892508978964,,88.752276867031
2017,Ealing Horn Lane,26.5840621266428,,95.5479452054795
2018,Ealing Horn Lane,24.7586501791286,,98.7785388127854
2019,Ealing Horn Lane,27.8914066210365,,81.7237442922374
2008,Stockton-on-Tees Eaglescliffe,14.4077555816686,,29.0642076502732
2009,Stockton-on-Tees Eaglescliffe,15.8076102418208,,96.3013698630137
2010,Stockton-on-Tees Eaglescliffe,14.4173881673882,,94.9315068493151
2011,Stockton-on-Tees Eaglescliffe,16.7765995051255,,96.8835616438356
2012,Stockton-on-Tees Eaglescliffe,16.3683400426237,,96.1520947176685
2013,Stockton-on-Tees Eaglescliffe,16.7837112261709,,97.0091324200913
2014,Stockton-on-Tees Eaglescliffe,16.7293884987893,,94.2922374429224
2015,Stockton-on-Tees Eaglescliffe,15.8371051880057,,95.9360730593607
2016,Stockton-on-Tees Eaglescliffe,16.1302719948437,,70.6511839708561
2017,Stockton-on-Tees Eaglescliffe,14.1034528279747,,97.2831050228311
2018,Stockton-on-Tees Eaglescliffe,15.7346369353183,,88.9497716894977
2019,Stockton-on-Tees Eaglescliffe,13.586418635328,,95.1940639269406
2015,Glasgow High Street,15.8640566274117,,91.1187214611872
2016,Glasgow High Street,13.0329927366736,,92.4749544626594
2017,Glasgow High Street,13.0069895038168,,95.7077625570776
2018,Glasgow High Street,13.7870037475114,,97.4771689497717
2019,Glasgow High Street,10.7325666285714,,99.8858447488584
2017,Greenock A8 Roadside,10.0723250972318,,99.7945205479452
2018,Greenock A8 Roadside,11.7110899737053,,99.851598173516
2019,Greenock A8 Roadside,11.7936260730228,,99.7374429223744
1997,Glasgow Kerbside,39.7612862347537,,72.0662100456621
1998,Glasgow Kerbside,35.0821045181078,,96.7694063926941
1999,Glasgow Kerbside,27.5150047258979,,96.62100456621
2000,Glasgow Kerbside,26.6801444884642,,97.7003642987249
2001,Glasgow Kerbside,30.893334884262,,98.1392694063927
2002,Glasgow Kerbside,29.560226068527,,96.9520547945205
2003,Glasgow Kerbside,31.6463160475665,,93.1164383561644
2004,Glasgow Kerbside,27.3438550168027,,94.8542805100182
2005,Glasgow Kerbside,29.1048407323802,,91.027397260274
2006,Glasgow Kerbside,38.0289172831204,,84.8744292237443
2007,Glasgow Kerbside,31.9044801352494,,94.5319634703196
2008,Glasgow Kerbside,26.5842868039664,,89.5491803278689
2009,Glasgow Kerbside,24.2862336403296,,94.2009132420091
2010,Glasgow Kerbside,28.6313025210084,,97.8082191780822
2011,Glasgow Kerbside,13,,0.045662100456621
2012,Glasgow Kerbside,24.0043130006161,,55.4303278688525
2013,Glasgow Kerbside,22.9371374865736,,85.0228310502283
2014,Glasgow Kerbside,22.0720115218435,,71.3356164383562
1997,Haringey Roadside,34.3129788989744,,96.837899543379
1998,Haringey Roadside,28.7904866985411,,93.1164383561644
1999,Haringey Roadside,28.2064144736842,,97.1689497716895
2000,Haringey Roadside,26.6093294460641,,93.7158469945355
2001,Haringey Roadside,27.2703639514731,,98.8013698630137
2002,Haringey Roadside,27.4386350491614,,98.6872146118722
2003,Haringey Roadside,29.150151550478,,97.9223744292238
2004,Haringey Roadside,24.594081068632,,98.8615664845173
2005,Haringey Roadside,25.614447761194,,95.6050228310502
2006,Haringey Roadside,27.6149584487535,,86.541095890411
2007,Haringey Roadside,28.5130914101975,,74.5547945205479
2008,Haringey Roadside,20.5915100904662,,65.4371584699454
2009,Haringey Roadside,21.2538867295947,,82.2374429223744
2010,Haringey Roadside,23.0676861702128,,85.8447488584475
2011,Haringey Roadside,26.0663531870428,,65.5479452054795
2012,Haringey Roadside,23.0667236954662,,93.158014571949
2013,Haringey Roadside,26.2008070432869,,62.2374429223744
2014,Haringey Roadside,24.8370666666667,,25.6849315068493
2008,Stanford-le-Hope Roadside,21.2529682578144,,93.9663023679417
2009,Stanford-le-Hope Roadside,21.3049442697914,,79.8858447488584
2010,Stanford-le-Hope Roadside,20.6445582586428,,89.1552511415525
2011,Stanford-le-Hope Roadside,23.3700730801486,,95.2853881278539
2012,Stanford-le-Hope Roadside,22.5664160401003,,81.7622950819672
2013,Stanford-le-Hope Roadside,24.3300202839757,,78.7899543378995
2014,Stanford-le-Hope Roadside,19.1617326493663,,94.5776255707762
2015,Stanford-le-Hope Roadside,17.1180658507154,,66.2214611872146
2016,Stanford-le-Hope Roadside,20.0555957683742,,81.7850637522769
2017,Stanford-le-Hope Roadside,18.6084919093851,,88.1849315068493
2018,Stanford-le-Hope Roadside,18.2670047900817,,81.027397260274
2019,Stanford-le-Hope Roadside,17.3061310928376,,95.7876712328767
2015,Hull Holderness Road,15.9118745644599,,81.9063926940639
2016,Hull Holderness Road,16.5004803547235,,92.4294171220401
2017,Hull Holderness Road,20.4660568324279,,81.9520547945205
2018,Hull Holderness Road,20.44462512054,,94.703196347032
2019,Hull Holderness Road,21.0214324488065,,94.2123287671233
2018,Inverness,8.32436587899247,,43.9611872146119
2019,Inverness,9.37530397214341,,88.5159817351598
2012,Leamington Spa Rugby Road,9.7864500792393,,57.4681238615665
2013,Leamington Spa Rugby Road,21.0468126710989,,29.189497716895
2014,Leamington Spa Rugby Road,14.7500844753144,,60.810502283105
2015,Leamington Spa Rugby Road,15.231003349683,,95.4223744292238
2016,Leamington Spa Rugby Road,15.6682818291215,,94.603825136612
2017,Leamington Spa Rugby Road,17.3015167673895,,96.3356164383562
2018,Leamington Spa Rugby Road,13.7985247067188,,64.2237442922374
2019,Leamington Spa Rugby Road,13.3599301114341,,94.2465753424657
2008,Leeds Headingley Kerbside,20.5839714813837,,86.2249544626594
2009,Leeds Headingley Kerbside,24.5052145058071,,96.324200913242
2010,Leeds Headingley Kerbside,28.1015130190007,,64.8858447488584
2011,Leeds Headingley Kerbside,25.0620183942332,,91.8493150684932
2012,Leeds Headingley Kerbside,21.984287054409,,97.0856102003643
2013,Leeds Headingley Kerbside,21.5188304420817,,81.5981735159817
2014,Leeds Headingley Kerbside,22.9905444924105,,81.9748858447489
2015,Leeds Headingley Kerbside,18.4963114261685,,95.0114155251142
2016,Leeds Headingley Kerbside,18.8926846424385,,97.108378870674
2017,Leeds Headingley Kerbside,17.1435137405496,,95.1255707762557
2018,Leeds Headingley Kerbside,17.7376400476758,,95.7762557077626
2019,Leeds Headingley Kerbside,15.8261320167564,,95.3767123287671
2015,Leicester A594 Roadside,21.6056934306569,,31.2785388127854
2016,Leicester A594 Roadside,21.5450119617225,,95.1730418943534
2017,Leicester A594 Roadside,21.2642830859806,,93.0707762557078
2018,Leicester A594 Roadside,22.4976100743993,,93.5958904109589
2019,Leicester A594 Roadside,22.4662290743763,,97.9223744292238
1997,London Marylebone Road,50.0916184243645,,45.3538812785388
1998,London Marylebone Road,41.8962439137491,,98.4703196347032
1999,London Marylebone Road,46.0078303818817,,94.7602739726027
2000,London Marylebone Road,48.2240443469223,,98.5769581056466
2001,London Marylebone Road,43.6996412096361,,89.0867579908676
2002,London Marylebone Road,44.571594742352,,98.1392694063927
2003,London Marylebone Road,48.3262427745665,,98.7442922374429
2004,London Marylebone Road,43.32156133829,,97.9963570127505
2005,London Marylebone Road,43.4483618233618,,96.1643835616438
2006,London Marylebone Road,46.9206722294042,,97.134703196347
2007,London Marylebone Road,44.6774419418835,,97.8196347031963
2008,London Marylebone Road,39.102082336046,,95.1275045537341
2009,London Marylebone Road,34.0062522544187,,94.9429223744292
2010,London Marylebone Road,31.6344946448357,,92.7283105022831
2011,London Marylebone Road,38.3558888076079,,93.6301369863014
2012,London Marylebone Road,30.8311965811966,,85.2459016393443
2013,London Marylebone Road,29.1399080904583,,94.3949771689498
2014,London Marylebone Road,26.2526302881668,,93.0936073059361
2015,London Marylebone Road,24.0985532815808,,97.0547945205479
2016,London Marylebone Road,26.0184725536993,,95.4007285974499
2017,London Marylebone Road,23.8407223208999,,96.4041095890411
2018,London Marylebone Road,23.8620330969267,,96.5753424657534
2019,London Marylebone Road,22.2390480700924,,96.4155251141552
2018,Newcastle Cradlewell Roadside,15.4039477972656,,82.6598173515982
2019,Newcastle Cradlewell Roadside,16.2292978597786,,77.3401826484018
2016,Nottingham Western Boulevard,19.8290790427846,,78.4949908925319
2017,Nottingham Western Boulevard,17.8276496076824,,97.4771689497717
2018,Nottingham Western Boulevard,17.9831207491375,,92.648401826484
2019,Nottingham Western Boulevard,19.7974410974898,,97.7739726027397
2018,Portsmouth Anglesea Road,19.2977574089259,,97.4543378995434
2019,Portsmouth Anglesea Road,19.4945976983937,,95.2283105022831
2016,Reading London Road,18.5328965272856,,64.2531876138434
2017,Reading London Road,16.8882334411307,,95.3082191780822
2018,Reading London Road,16.8454898486526,,92.7739726027397
2019,Reading London Road,17.1902914820286,,92.7397260273973
2016,Southampton A33,21.6062510446264,,68.1124772313297
2017,Southampton A33,19.4237496826606,,89.9315068493151
2018,Southampton A33,16.6931530676787,,72.1917808219178
2019,Southampton A33,16.624116081612,,90.0799086757991
2008,Saltash Roadside,16.8163709928416,,36.577868852459
2009,Saltash Roadside,18.000346220427,,98.9155251141552
2010,Saltash Roadside,17.0716679076694,,61.324200913242
2013,Saltash Callington Road,16.0738446411013,,69.6575342465753
2014,Saltash Callington Road,16.4830570902394,,92.9794520547945
2015,Saltash Callington Road,16.1766117864287,,74.189497716895
2016,Saltash Callington Road,14.5680419994085,,76.9808743169399
2017,Saltash Callington Road,15.437353858145,,58.5844748858447
2018,Saltash Callington Road,16.5150161290323,,87.7625570776256
2019,Saltash Callington Road,17.7925418819853,,94.9885844748858
2008,Sandy Roadside,18.5388933440257,,42.5887978142077
2009,Sandy Roadside,20.2355985292115,,83.824200913242
2010,Sandy Roadside,21.4585533262936,,86.4840182648402
2011,Sandy Roadside,16.7844854551142,,36.4954337899543
2012,Sandy Roadside,18.6131024096386,,75.591985428051
2013,Sandy Roadside,21.195257918552,,63.0707762557078
2014,Sandy Roadside,17.2422378658763,,30.810502283105
2015,Sandy Roadside,14.7991848341232,,60.2168949771689
2016,Sandy Roadside,18.9978669303574,,80.58970856102
2017,Sandy Roadside,18.6653006510915,,59.6118721461187
2018,Sandy Roadside,19.1600645276931,,63.6872146118721
2019,Sandy Roadside,17.9661736399045,,90.8561643835616
2017,St Helens Linkway,16.3038274932615,,84.703196347032
2018,St Helens Linkway,18.2702325667656,,92.3287671232877
2019,St Helens Linkway,20.4754423797177,,79.2465753424657
2011,Southwark A2 Old Kent Road,27.0448056537102,,80.7648401826484
2012,Southwark A2 Old Kent Road,24.6278586278586,,82.1379781420765
2013,Southwark A2 Old Kent Road,27.2689870658335,,78.5502283105023
2014,Southwark A2 Old Kent Road,23.8851927570093,,39.0867579908676
2015,Southwark A2 Old Kent Road,20.2874101610905,,46.0616438356164
2016,Southwark A2 Old Kent Road,23.6988162821597,,94.2509107468124
2017,Southwark A2 Old Kent Road,21.5568817746408,,90.5707762557078
2018,Southwark A2 Old Kent Road,22.3642685172072,,80.6050228310502
2019,Southwark A2 Old Kent Road,23.6738850880527,,90.1027397260274
2015,Stoke-on-Trent A50 Roadside,18.3626679462572,,59.4748858447489
2016,Stoke-on-Trent A50 Roadside,20.4361574462979,,94.865664845173
2017,Stoke-on-Trent A50 Roadside,18.3631864815932,,94.5776255707762
2018,Stoke-on-Trent A50 Roadside,19.1508429086538,,94.9771689497717
2019,Stoke-on-Trent A50 Roadside,19.6846430960344,,95.5707762557078
2009,Storrington Roadside,19.2498597868761,,40.7077625570776
2010,Storrington Roadside,20.3809653667848,,83.7214611872146
2011,Storrington Roadside,22.4765817584223,,97.2488584474886
2012,Storrington Roadside,20.6018957345972,,93.681693989071
2013,Storrington Roadside,22.9595509171411,,72.1917808219178
2014,Storrington Roadside,14.4992635066259,,44.7945205479452
2015,Storrington Roadside,15.7634112987013,,87.8995433789954
2016,Storrington Roadside,18.7492099867326,,94.3875227686703
2017,Storrington Roadside,29.0891544117647,,6.21004566210046
1997,Sutton Roadside,31.3793500806637,,99.0639269406393
1998,Sutton Roadside,27.0103260239007,,98.3904109589041
1999,Sutton Roadside,25.5831300104566,,98.2534246575343
2000,Sutton Roadside,25.0650659368002,,91.5072859744991
2001,Sutton Roadside,26.0490261030873,,86.1529680365297
2002,Sutton Roadside,26.1942395504039,,32.5
2006,Swansea Roadside,22.201359832636,,21.8264840182648
2007,Swansea Roadside,18.2107162687396,,82.2374429223744
2008,Swansea Roadside,17.4881588112375,,98.0646630236794
2009,Swansea Roadside,17.1420942651498,,98.3333333333333
2010,Swansea Roadside,15.7489337175793,,99.0296803652968
2011,Swansea Roadside,14.6896111009677,,62.5228310502283
2012,Swansea Roadside,17.945939675174,,98.1329690346084
2013,Swansea Roadside,19.0688659106851,,97.648401826484
2014,Swansea Roadside,20.2103895341875,,95.3310502283105
2015,Swansea Roadside,20.2201750351947,,97.3059360730594
2016,Swansea Roadside,19.1395126020589,,96.2090163934426
2017,Swansea Roadside,18.9008981470268,,94.2579908675799
2018,Swansea Roadside,19.6857245139877,,96.3013698630137
2019,Swansea Roadside,18.379922450468,,93.9155251141552
2018,Wrexham,12.9810994108984,,15.5022831050228
2019,Wrexham,12.0895060377895,,80.3538812785388
2001,Stockton-on-Tees Yarm,29.9643486777669,,58.2762557077626
2002,Stockton-on-Tees Yarm,29.0652839971718,,96.8721461187215
2003,Stockton-on-Tees Yarm,32.0928435568236,,96.027397260274
2004,Stockton-on-Tees Yarm,26.793565054016,,96.9489981785064
2005,Stockton-on-Tees Yarm,26.2718782428226,,99.0068493150685
2006,Stockton-on-Tees Yarm,27.8597063621533,,97.9680365296804
2007,Stockton-on-Tees Yarm,26.2010761492572,,97.5913242009132
2008,Stockton-on-Tees Yarm,22.8657439446367,,65.8014571948998
2008,York Fishergate,21.6430540572935,,94.9795081967213
2009,York Fishergate,18.9241864758828,,98.9269406392694
2010,York Fishergate,21.263503649635,,93.8356164383562
2011,York Fishergate,18.9997289238276,,42.1118721461187
2012,York Fishergate,18.2913508961867,,94.6379781420765
2013,York Fishergate,18.8454827500621,,91.986301369863
2014,York Fishergate,18.419930273097,,98.2305936073059
2015,York Fishergate,17.756853155195,,95.6963470319635
2016,York Fishergate,16.3641005142018,,92.9872495446266
2017,York Fishergate,16.3424337612674,,83.5844748858448
2018,York Fishergate,18.3400703630035,,91.8264840182648
2019,York Fishergate,21.87903806926,,96.2557077625571
