Year,Site,Annual Mean PM2.5 concentration (ug/m3),95% confidence interval for 'All sites' (+/-),Annual capture rate (%)
2009,All sites,12.7717647545396,6.88955709399941,
2010,All sites,14.3679549884171,2.77063567102811,
2011,All sites,15.9629684696552,2.54792747568616,
2012,All sites,14.1352899437715,1.9571677480763,
2013,All sites,13.3451916860959,1.58182429454897,
2014,All sites,12.5879727423652,1.33039433474186,
2015,All sites,10.9411367804871,1.0615921895335,
2016,All sites,11.1709450826243,1.26208474418826,
2017,All sites,9.92903552856196,1.59941431710063,
2018,All sites,10.6055362760506,1.195116933881,
2019,All sites,10.0812422572653,1.10430776099808,
2009,Inverness,6.40406976744186,,94.2465753424658
2010,Inverness,6.87962962962963,,88.7671232876712
2011,Inverness,6.13253012048193,,90.958904109589
2012,Inverness,6.38392857142857,,91.8032786885246
2013,Inverness,6.05787114845938,,97.8082191780822
2014,Inverness,5.86453757225433,,94.7945205479452
2015,Inverness,4.76667638483965,,93.972602739726
2016,Inverness,4.74749720670391,,97.8142076502732
2017,Inverness,4.27978347578348,,96.1643835616438
2010,Wrexham,9.83492063492064,,86.3013698630137
2011,Wrexham,10.4232954545455,,96.4383561643836
2012,Wrexham,9.31700288184438,,94.8087431693989
2013,Wrexham,10.3888011695906,,93.6986301369863
2014,Wrexham,9.34341463414634,,89.8630136986301
2015,Wrexham,8.01993902439024,,89.8630136986301
2016,Wrexham,7.84397953216374,,93.4426229508197
2017,Wrexham,6.56018367346939,,93.972602739726
2016,Birmingham A4540 Roadside,13.2836012861736,,24.7836976320583
2017,Birmingham A4540 Roadside,10.5251212801134,,96.6666666666667
2018,Birmingham A4540 Roadside,11.7949292024688,,94.3264840182648
2019,Birmingham A4540 Roadside,9.79923311471637,,99.2123287671233
2009,Birmingham Tyburn Roadside,13.7345202457854,,72.4543378995434
2010,Birmingham Tyburn Roadside,14.6225609052073,,98.8698630136986
2011,Birmingham Tyburn Roadside,16.5797264909065,,80.9703196347032
2012,Birmingham Tyburn Roadside,12.8323029366306,,88.3879781420765
2013,Birmingham Tyburn Roadside,15.977831358501,,82.8538812785388
2014,Birmingham Tyburn Roadside,13.9738778705637,,87.4885844748858
2015,Birmingham Tyburn Roadside,11.8047076959564,,96.2671232876712
2016,Birmingham Tyburn Roadside,12.4872196139802,,65.4713114754098
2013,Barnstaple A39,10.0274074074074,,12.3287671232877
2014,Barnstaple A39,9.08111181301327,,90.3538812785388
2015,Barnstaple A39,9.58794439660475,,92.796803652968
2016,Barnstaple A39,10.7010910458992,,90.7786885245902
2017,Barnstaple A39,9.15308835027365,,43.8013698630137
2018,Barnstaple A39,6.92755806654112,,90.9246575342466
2019,Barnstaple A39,8.14082145850796,,95.3310502283105
2009,Bury Roadside,13.8529245815309,,60.6963470319635
2010,Bury Roadside,17.2990424748343,,92.9908675799087
2011,Bury Roadside,18.7676779328642,,98.9611872146119
2012,Bury Roadside,18.8604732080724,,65.4371584699454
2009,Camden Kerbside,17.3449409943896,,59.0068493150685
2010,Camden Kerbside,16.5170204978038,,62.3744292237443
2011,Camden Kerbside,16.0719361675602,,91.5639269406393
2012,Camden Kerbside,13.3252369668246,,96.0837887067395
2013,Camden Kerbside,15.8165585168019,,98.5159817351598
2014,Camden Kerbside,15.1208884831888,,75.0342465753425
2015,Camden Kerbside,12.4991712053043,,96.4155251141552
2016,Camden Kerbside,15.0203100958693,,96.186247723133
2017,Camden Kerbside,15.9301175088132,,97.1461187214612
2018,Camden Kerbside,11.3334583548888,,88.2648401826484
2019,Camden Kerbside,11.1329236891386,,97.5342465753425
2009,Carlisle Roadside,11.2690189072503,,76.6780821917808
2010,Carlisle Roadside,15.5360874264441,,95.0570776255708
2011,Carlisle Roadside,12.2135436224809,,91.1986301369863
2012,Carlisle Roadside,11.0363969625556,,86.9535519125683
2013,Carlisle Roadside,11.6959976176295,,95.8333333333333
2014,Carlisle Roadside,11.3242785919323,,75.5593607305936
2015,Carlisle Roadside,10.1633373445648,,85.3767123287671
2016,Carlisle Roadside,9.89020091646105,,64.5947176684882
2017,Carlisle Roadside,8.58409728718429,,97.6255707762557
2018,Carlisle Roadside,8.59123904881101,,91.2100456621005
2019,Carlisle Roadside,10.8101419386146,,94.0981735159817
2010,Chatham Roadside,13.017060687302,,46.837899543379
2011,Chatham Roadside,16.9804732368482,,99.3835616438356
2012,Chatham Roadside,16.7942434400647,,98.485883424408
2013,Chatham Roadside,13.4446342054264,,94.2465753424657
2014,Chatham Roadside,13.516142059627,,96.1073059360731
2015,Chatham Roadside,11.8136714303781,,90.2625570776256
2016,Chatham Roadside,11.5256397103199,,75.4553734061931
2017,Chatham Roadside,14.1207784574787,,95.1712328767123
2018,Chatham Roadside,15.1853391944873,,96.0844748858448
2019,Chatham Roadside,13.9001902346227,,90.0114155251142
2017,Christchurch Barrack Road,13.971612212105,,21.3127853881279
2018,Christchurch Barrack Road,12.201646090535,,97.0890410958904
2019,Christchurch Barrack Road,12.8349033816425,,94.5205479452055
2010,Chepstow A48,18.8758903133903,,64.1095890410959
2011,Chepstow A48,17.3771715721464,,79.5091324200913
2012,Chepstow A48,12.3237451294981,,99.33970856102
2013,Chepstow A48,14.1466447291104,,97.134703196347
2014,Chepstow A48,14.3166666666667,,89.1780821917808
2015,Chepstow A48,9.70977550778002,,96.1073059360731
2016,Chepstow A48,11.1641087017741,,80.8515482695811
2017,Chepstow A48,9.69545891398366,,95.0228310502283
2018,Chepstow A48,10.1588459645669,,92.7853881278539
2019,Chepstow A48,12.5527928352581,,96.8721461187215
2009,Chesterfield Roadside,9.84078212290503,,49.041095890411
2010,Chesterfield Roadside,13.4638778390864,,88.9611872146119
2011,Chesterfield Roadside,13.9420972257572,,89.703196347032
2012,Chesterfield Roadside,14.8160465116279,,97.9052823315118
2013,Chesterfield Roadside,10.2123629875096,,89.5662100456621
2014,Chesterfield Roadside,11.5914991723812,,96.5525114155251
2015,Chesterfield Roadside,10.4069980072676,,97.3858447488584
2016,Chesterfield Roadside,11.3150471356055,,94.1939890710382
2017,Chesterfield Roadside,8.77404115996258,,97.6255707762557
2018,Chesterfield Roadside,9.71043831362713,,95.5821917808219
2019,Chesterfield Roadside,8.89207782553142,,98.2762557077626
2009,Stockton-on-Tees Eaglescliffe,10.0902192242833,,94.7716894977169
2010,Stockton-on-Tees Eaglescliffe,9.36942754253073,,91.9292237442922
2011,Stockton-on-Tees Eaglescliffe,12.0207612456747,,95.6735159817352
2012,Stockton-on-Tees Eaglescliffe,11.3640490797546,,92.7823315118397
2013,Stockton-on-Tees Eaglescliffe,10.048578255675,,95.5479452054795
2014,Stockton-on-Tees Eaglescliffe,10.9962406015038,,97.1689497716895
2015,Stockton-on-Tees Eaglescliffe,10.8099585994795,,96.5068493150685
2016,Stockton-on-Tees Eaglescliffe,9.06857239512855,,84.1302367941712
2017,Stockton-on-Tees Eaglescliffe,8.49010823529412,,97.0319634703196
2018,Stockton-on-Tees Eaglescliffe,10.1385420382923,,95.9931506849315
2019,Stockton-on-Tees Eaglescliffe,8.27289266221953,,94.12100456621
2015,Glasgow High Street,8.49322841681349,,90.7077625570776
2016,Glasgow High Street,10.0792614355231,,93.5792349726776
2017,Glasgow High Street,7.03171889616464,,97.6255707762557
2018,Glasgow High Street,7.39840444704506,,97.5456621004566
2019,Glasgow High Street,6.30839748571429,,99.8858447488584
2017,Greenock A8 Roadside,5.25613323404743,,99.6461187214612
2018,Greenock A8 Roadside,6.17685332113868,,99.851598173516
2019,Greenock A8 Roadside,6.55778722673687,,99.7374429223744
2009,Glasgow Kerbside,19.7109756097561,,46.8036529680365
2010,Glasgow Kerbside,23.0508474576271,,96.3127853881278
2011,Glasgow Kerbside,22.3891631852133,,90.1712328767123
2012,Glasgow Kerbside,19.6897607934656,,78.0510018214936
2013,Glasgow Kerbside,16.0382049813914,,79.7488584474886
2014,Glasgow Kerbside,15.7998122418325,,60.7990867579909
2009,Haringey Roadside,14.698347107438,,74.5890410958904
2010,Haringey Roadside,17.4795287530619,,97.865296803653
2011,Haringey Roadside,19.2510930668332,,73.1050228310502
2012,Haringey Roadside,17.6101542416452,,88.5701275045537
2013,Haringey Roadside,17.8340238764045,,97.5342465753425
2014,Haringey Roadside,15.7347116581386,,82.5456621004566
2015,Haringey Roadside,14.6314814814815,,95.5479452054795
2016,Haringey Roadside,14.2514626218852,,10.5077413479053
2009,Stanford-le-Hope Roadside,14.5418807810894,,44.4292237442922
2010,Stanford-le-Hope Roadside,15.1767978569957,,55.3995433789954
2011,Stanford-le-Hope Roadside,17.9314907380182,,77.648401826484
2012,Stanford-le-Hope Roadside,15.2539394784549,,81.6370673952641
2013,Stanford-le-Hope Roadside,14.237644129979,,87.1232876712329
2014,Stanford-le-Hope Roadside,14.2290607872446,,91.6438356164384
2015,Stanford-le-Hope Roadside,9.84372789436454,,96.8264840182648
2016,Stanford-le-Hope Roadside,13.4065483629093,,91.0974499089253
2017,Stanford-le-Hope Roadside,11.053000759686,,90.1598173515982
2018,Stanford-le-Hope Roadside,10.0592726424991,,97.9337899543379
2019,Stanford-le-Hope Roadside,11.5619143323703,,90.87899543379
2018,Inverness,4.85186730719294,,43.9611872146119
2019,Inverness,5.42633217189315,,88.458904109589
2012,Leamington Spa Rugby Road,9.28771466314399,,43.08970856102
2013,Leamington Spa Rugby Road,12.0605963029219,,95.7191780821918
2014,Leamington Spa Rugby Road,11.1538601381651,,94.189497716895
2015,Leamington Spa Rugby Road,11.3867334620956,,94.5662100456621
2016,Leamington Spa Rugby Road,9.71508559201141,,95.7650273224044
2017,Leamington Spa Rugby Road,10.9796745111814,,97.5
2018,Leamington Spa Rugby Road,11.7415474542378,,74.2123287671233
2019,Leamington Spa Rugby Road,9.18666381977968,,92.2260273972603
2009,Leeds Headingley Kerbside,14.3550825542073,,57.3858447488584
2010,Leeds Headingley Kerbside,18.570320855615,,85.3881278538813
2011,Leeds Headingley Kerbside,18.5442583732057,,95.4337899543379
2012,Leeds Headingley Kerbside,17.0031231925969,,98.4175774134791
2013,Leeds Headingley Kerbside,15.102410683316,,65.8219178082192
2014,Leeds Headingley Kerbside,14.3590568687105,,97.5570776255708
2015,Leeds Headingley Kerbside,12.5129805909259,,92.3401826484018
2016,Leeds Headingley Kerbside,12.0933251862197,,97.8142076502732
2017,Leeds Headingley Kerbside,10.0491015531661,,95.5479452054795
2018,Leeds Headingley Kerbside,11.1930480018917,,96.5525114155251
2019,Leeds Headingley Kerbside,12.3377901234568,,92.4657534246575
2009,London Marylebone Road,21.0042188350572,,83.8812785388128
2010,London Marylebone Road,22.6081160556754,,58.2305936073059
2011,London Marylebone Road,24.4545345633162,,95.2853881278539
2012,London Marylebone Road,21.4635352286774,,92.0992714025501
2013,London Marylebone Road,20.0745756718529,,96.8493150684932
2014,London Marylebone Road,18.1908101355333,,96.8607305936073
2015,London Marylebone Road,15.8036530948458,,97.0091324200913
2016,London Marylebone Road,15.8812013040901,,96.0268670309654
2017,London Marylebone Road,15.4362320559972,,96.2214611872146
2018,London Marylebone Road,15.7994511278195,,89.5776255707762
2019,London Marylebone Road,14.3479743331656,,90.7305936073059
2010,Saltash Roadside,9.38455618265777,,44.4977168949772
2013,Saltash Callington Road,10.7052134937485,,96.7808219178082
2014,Saltash Callington Road,9.86274477265184,,68.7899543378995
2015,Saltash Callington Road,9.73130687563195,,90.3196347031963
2016,Saltash Callington Road,8.26819373533876,,82.502276867031
2017,Saltash Callington Road,7.75967572611688,,97.865296803653
2018,Saltash Callington Road,8.40100406406885,,95.5022831050228
2019,Saltash Callington Road,9.49869637354823,,96.324200913242
2009,Sandy Roadside,15.0912970386655,,88.2762557077626
2010,Sandy Roadside,17.2291635604592,,76.5639269406393
2011,Sandy Roadside,13.0325960419092,,39.2237442922374
2012,Sandy Roadside,15.0350221013261,,66.9626593806922
2013,Sandy Roadside,13.002037579307,,93.5616438356164
2014,Sandy Roadside,12.7694650704652,,75.3310502283105
2015,Sandy Roadside,11.7951175838606,,95.6278538812785
2016,Sandy Roadside,12.386970022692,,95.3210382513661
2017,Sandy Roadside,12.3869205965337,,56.6438356164384
2018,Sandy Roadside,13.1656817764727,,62.203196347032
2019,Sandy Roadside,9.70053267506821,,87.865296803653
2017,Sheffield Barnsley Road,13.1784615384615,,18.5502283105023
2018,Sheffield Barnsley Road,13.9073241831653,,93.9840182648402
2019,Sheffield Barnsley Road,14.6912019826518,,92.1232876712329
2016,Stockton-on-Tees A1305 Roadside,10.4645653846154,,82.8779599271403
2017,Stockton-on-Tees A1305 Roadside,8.05104797391709,,98.0365296803653
2018,Stockton-on-Tees A1305 Roadside,9.43372134885395,,95.1255707762557
2019,Stockton-on-Tees A1305 Roadside,8.14685734887634,,94.9885844748858
2009,Storrington Roadside,10.9927307206068,,36.1187214611872
2010,Storrington Roadside,14.4542667974497,,93.1050228310502
2011,Storrington Roadside,15.615867115809,,98.2762557077626
2012,Storrington Roadside,16.2165101334651,,92.1220400728597
2013,Storrington Roadside,16.617438657987,,91.1872146118722
2014,Storrington Roadside,11.3228314787505,,85.148401826484
2015,Storrington Roadside,11.1790341425419,,87.9337899543379
2016,Storrington Roadside,13.2435716058575,,91.7349726775956
2017,Storrington Roadside,24.1079422382671,,6.32420091324201
2009,Swansea Roadside,11.8264005770618,,47.4771689497717
2010,Swansea Roadside,8.99374097255657,,94.8401826484018
2011,Swansea Roadside,10.3383818254285,,28.6415525114155
2012,Swansea Roadside,11.4677645409951,,97.4726775956284
2013,Swansea Roadside,11.9296933520599,,97.5342465753425
2014,Swansea Roadside,12.7087076296562,,95.3082191780822
2015,Swansea Roadside,12.7805150768509,,97.2945205479452
2016,Swansea Roadside,13.3670354457573,,95.3893442622951
2017,Swansea Roadside,14.6562265962554,,95.1141552511416
2018,Swansea Roadside,12.8224426534408,,92.0662100456621
2019,Swansea Roadside,9.85862735621073,,94.4748858447489
2018,Wrexham,9.53947457627119,,15.4908675799087
2019,Wrexham,7.86904148316522,,80.3538812785388
2018,Worthing A27 Roadside,10.4209245742092,,75.0684931506849
2019,Worthing A27 Roadside,10.0407780642137,,97.4200913242009
2011,York Fishergate,12.8929940745904,,32.7511415525114
2012,York Fishergate,13.4021889545855,,90.4940801457195
2013,York Fishergate,13.2699340014666,,93.4018264840183
2014,York Fishergate,13.5743208729974,,98.3333333333333
2015,York Fishergate,12.0239141742523,,87.7853881278539
2016,York Fishergate,11.9559526713833,,93.3287795992714
2017,York Fishergate,11.4191737440622,,79.3036529680365
2018,York Fishergate,10.4562828826624,,93.2990867579909
2019,York Fishergate,10.6560026940562,,67.796803652968
